,restaurant_name,address,city,state,zip_code,phone,cuisine_type,rating,price,latitude,longitude
29,Miami Subs Grill,5875 NW 36th St,Miami,FL,33166,+17862650401,American (New),3.0,$,38.227666,-85.735413
30,McAlister's Deli,1001-D Avenida De Las Americas,Houston,TX,77010,+18329400660,Salad,2.0,$$,42.987085,-71.419033
31,Craigie On Main,853 Main St,Cambridge,MA,02139,+16174975511,American (New),4.0,$$$$,26.08812,-80.25185
32,The Original Ninfa's on Navigation,2704 Navigation Blvd,Houston,TX,77003,+17132281175,Mexican,4.0,$$,43.0062959343195,-87.9675849527121
33,Fat Cat Creamery,1901 N Shepherd,Houston,TX,77008,+17138691080,Ice Cream & Frozen Yogurt,4.0,$,29.86442,-95.64382
34,Mission BBQ,116 S Independence Blvd,Virginia Beach,VA,23462,+17574909050,Barbeque,4.5,$$,29.7429019,-95.4608651
35,Green Lotus,176-59 Union Tpke,Fresh Meadows,NY,11366,+17183808567,Chinese,3.5,$,45.5199401129479,-122.673812241262
36,Thyme Natural Market & Cafe,8122 Lefferts Blvd,Kew Gardens,NY,11415,+17188470535,Health Markets,4.0,$$,35.16566,-80.8764999
37,Salad and Go,2006 W Pinnacle Peak Rd,Phoenix,AZ,85027,,Salad,4.5,$,42.7259285,-83.3076352
38,Naan -N- Curry,709 S 3rd St,Renton,WA,98057,+14252716226,Indian,3.5,$$,39.6684494018555,-86.083137512207
39,Standard Sweets & Spices,1819 E Dakota Ave,Fresno,CA,93726,+15592410645,Indian,4.5,$,40.7693,-73.95823
40,Seeds Marketplace,3607 Trousdale Pkwy,Los Angeles,LA,90089,+12138213481,Sandwiches,3.0,$$,36.12737,-115.173487
41,La Salsa Fresh Mexican Grill,Iah Airport,Houston,TX,77032,+12814437344,Mexican,3.0,$,40.8375213,-74.1544461
42,Naan -N- Curry,709 S 3rd St,Renton,WA,98057,+14252716226,Indian,3.5,$$,39.2832243843543,-76.5979606052352
43,My Fit Foods,22560 Tomball Pkwy,Houston,TX,77070,+12812514922,Gluten-Free,4.0,$$,42.5247302,-71.1030292
44,Erna's Elderberry House,48688 Victoria Ln,Oakhurst,CA,93644,+15596836800,French,4.5,$$$$,35.60749,-97.5488
45,Forbidden Palace,3333 Virginia Beach Blvd,Virginia Beach,VA,23452,+17577472388,Chinese,4.0,$$,41.8894143124861,-87.6305293460327
46,Caspian Bistro & Marketplace,2418 University Ave SE,Minneapolis,MN,55414,+16126231113,Grocery,4.0,$$,33.4560699,-112.06082
47,June Bug Cafe,6979A Hwy 140,Midpines,CA,95345,+12099666666,American (New),4.0,$$,43.0173683,-87.9863205
48,Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,21.298249,-157.8609123
49,La La Bistro,1000 D Park Blvd,Massapequa Park,NY,11762,+15165907230,Sandwiches,3.0,$,21.2832852867738,-157.714538867153
50,Veggie Heaven,631 Valley Rd,Montclair,NJ,07043,+19737831088,Vegetarian,4.0,$$,36.1093921899262,-115.173773006117
51,Pho 777,1065 W Argyle St,Chicago,IL,60640,+17735619909,Vietnamese,3.5,$,40.8052656288237,-74.1938709001463
52,Peter Luger,178 Broadway,Brooklyn,NY,11211,+17183877400,Steakhouses,4.0,$$$$,33.8330116271973,-111.94026184082
53,Jamba Juice,1215 Herndon Ave,Clovis,CA,93612,+15593221463,Juice Bars & Smoothies,4.0,$,29.7350980889096,-95.4177527502179
54,Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,35.7253228873014,-97.4257379025221
55,Verizon Wireless,340 Jay St,Brooklyn,NY,11201,+17185960300,Mobile Phones,4.5,$$,39.3515636,-85.4794257
56,Standard Sweets & Spices,1819 E Dakota Ave,Fresno,CA,93726,+15592410645,Indian,4.5,$,41.87901,-87.63451
57,Highline Bar,210 Broadway E,Seattle,WA,98102,+12063287837,Vegan,4.0,$$,43.0453188,-87.9107494
58,Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,36.1672853943714,-115.1393104473
59,Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,45.5220062879183,-122.676177620888
60,Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,37.65126,-118.98514
61,Lilly & Raul,30 E 40th St,New York,NY,10016,+12126826121,Massage,4.5,$$,42.3577439,-71.0590258
62,Liquiteria,230 Park Ave,New York,NY,10169,,Juice Bars & Smoothies,4.0,$,37.227353,-119.509135
63,Melt Bar and Grilled,4206 Worth Ave,Columbus,OH,43219,+16149346020,Sandwiches,3.5,$$,39.9509373153123,-75.194303179138
64,Red Bamboo,140 W 4th St,New York,NY,10012,+12122601212,Vegetarian,4.0,$$,40.745513,-74.002365
65,Nan Xiang Xiao Long Bao,38-12 Prince St,Flushing,NJ,11354,+17183213838,Shanghainese,4.0,$,45.5171478383754,-122.651323594986
66,Neehee's,45656 Ford Rd,Canton,MI,48187,+17347379777,Indian,4.0,$,29.7148246765137,-95.4138641357422
67,Chowpatty Chat,5711 Hillcroft St,Houston,TX,77036,+18322037965,Indian,4.0,$,41.87887,-87.63117
68,Yard House,90 El Camino,Fresno,CA,93720,+15592612165,Bars,3.5,$$,41.87887,-87.63117
69,Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,40.7419722,-73.9929188
70,The Kathmandu,3142 S Highland Dr,Salt Lake City,UT,84106,+18014663504,Indian,4.0,$$,47.6675671,-122.3128845
71,Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,29.6888500132696,-95.4600555797372
72,Addis Red Sea,544 Tremont St,Boston,MA,02116,+16174268727,Ethiopian,3.5,$$,38.2563672598458,-85.752762330038
73,Four Seasons Thai Cuisine & Oriental Grocery,1353 Stelton Rd,Piscataway,NY,08854,+17328198787,Grocery,3.5,$$,40.3607292175293,-74.0418853759766
74,Teazer World Tea Market,3140 W Shaw Ave,Fresno,CA,93711,+15592714758,Cafes,4.5,$,40.7416907417333,-73.9872074872255
75,Empire Palace,2721 S College Ave,Fort Collins,WY,80525,+19703771180,Asian Fusion,2.5,$,37.6482916,-118.9702723
76,Shaver Coffee & Deli,41758 Tollhouse Rd,Shaver Lake,CA,93602,+15598413555,Delis,4.0,$,39.717523,-104.952615
77,No Borders Food Truck,1515 Sul Ross,Houston,TX,77006,+17133347295,Food Stands,3.5,$,25.750963,-80.258375
78,Fresco Tortilla & Burritos,858 10th Ave,New York,NY,10019,+12124895007,Tex-Mex,3.0,$,25.7269702206122,-80.2405763730163
79,Bob's Blue Sky Cafe,41781 Tollhouse Rd,Shaver Lake,CA,93664,+15598417106,Coffee & Tea,3.5,$,35.4967079162598,-97.5348358154297
80,Frullati Cafe & Bakery,2000 Willowbrook Mall,Houston,TX,77070,+12814773383,Bakeries,3.5,$,36.80804,-119.75473
81,The Original Ninfa's on Navigation,2704 Navigation Blvd,Houston,TX,77003,+17132281175,Mexican,4.0,$$,40.7716201269986,-73.9818377981476
82,Juicebar Holland,3877 Holland Rd,Virginia Beach,VA,23452,+17572276822,Juice Bars & Smoothies,4.0,$$,42.3950699,-71.12135
83,Seed Freedom,1240 Ridge Ave,Philadelphia,PA,19123,+12678868843,Bars,3.0,$$,45.5195939836311,-122.660475969315
84,Port of Subs,7120 North Durango Rd,Las Vegas,NV,89149,+17022207678,Sandwiches,3.5,$,21.27699,-157.78641
85,Flatbread Company,138 Congress St,Portsmouth,NH,03804,+16034367888,Pizza,4.5,$$,25.9652552018989,-80.1439338974838
86,Sababa Mediterranean Grill,3220 S Durango Dr,Las Vegas,NV,89117,+17025475556,Middle Eastern,3.5,$$,39.94718,-75.15746
87,WinCo Foods,4488 Shaw Ave,Fresno,CA,93722,+15592712199,Grocery,3.5,$,33.804511,-84.393731
88,Amada,217 Chestnut St,Philadelphia,PA,19106,+12156252450,Tapas Bars,4.0,$$$,29.7372343,-95.4981349
89,Pei Wei,1005 Waugh Dr,Houston,TX,77019,+17133537366,Chinese,2.5,$,47.5222591,-122.3646749
90,GreenSpace Cafe,215 W Nine Mile Rd,Ferndale,MI,48220,+12482067510,Vegan,4.5,$$,40.36409,-74.6512599
91,Erna's Elderberry House,48688 Victoria Ln,Oakhurst,CA,93644,+15596836800,French,4.5,$$$$,33.4369499,-112.0595091
92,Magic Carpet,34th & Walnut St,Philadelphia,PA,19176,+12153340948,Food Stands,4.5,$,41.5819629,-93.6194239
93,Wall's Old Fashioned Ice Cream,8075 SW 67th Ave,Miami,FL,33143,+13057409830,Ice Cream & Frozen Yogurt,4.5,$,33.7639427185059,-84.3488159179688
94,Fox & Jane Lower East Side,154 Orchard St,New York,CT,10002,+12128372774,Hair Salons,4.5,$$,41.2662756,-96.1193712
95,Boston Market,1915 W Gray St,Houston,TX,77019,+17135212121,American (Traditional),3.0,$,47.59726,-122.3275
96,Divya's Kitchen,25 1st Ave,New York,NY,10003,+12124774834,Vegan,4.5,$$,42.363353729248,-71.0558242797852
97,Firehouse Subs,2303 White Bear Ave,Maplewood,MN,55109,+16517317827,Fast Food,3.0,$$,40.721515,-73.995735
98,Life Alive,765 Mass Ave,Cambridge,MA,02139,+16173545433,Vegetarian,4.5,$$,39.7488845070351,-104.996757259744
99,Angkor Restaurant,4853 E Olive Ave,Fresno,CA,93727,+15594540887,Asian Fusion,3.5,$$,45.52402,-122.69674
100,Tida Thai,336 Constitution Dr,Virginia Beach,VA,23462,+17574900515,Thai,4.0,$$,36.838862,-119.752864
101,Aldo's Pizza Pies,100 S Main St,Memphis,TN,38103,+19015777743,Pizza,4.0,$$,39.7714996,-86.1536102
102,Loving Hut,1239 SW Jefferson St,Portland,OR,97201,+15032486715,Vegan,4.5,$,25.7702253553012,-80.1896206576721
103,Master Pizza,41 Freeman St,West Orange,NJ,07052,+19736696777,Pizza,3.0,$,40.22508,-75.40055
104,Rosinella,525 Lincoln Rd,Miami Beach,FL,33139,+13056728777,Italian,3.0,$$,41.930523,-87.685697
105,Rah'mn,300 Snelling Ave S,Saint Paul,MN,55105,+16516981448,Salad,3.5,$$,29.811553708834,-95.1640063730319
106,Fox's Pizza Den,345 Scarlett Rd,Kennett Square,PA,19348,+16104446060,Pizza,3.0,$$,41.6274402139671,-93.6050373539547
107,Wayback Burgers,4690 North State Rd 7,Coconut Creek,FL,33073,+19545808087,Burgers,2.5,$,39.159896,-76.723842
108,Domino's Pizza,616 N Jefferson St,Jackson,MS,39202,+16013535600,Pizza,3.0,$$,39.9888235763631,-83.0394464962233
109,Max & Erma's,739 S 3rd St,Columbus,OH,43206,+16144440917,American (Traditional),3.5,$$,25.68481,-80.31337
110,Tubby's Grilled Submarines,1612 E 11 Mile Rd,Royal Oak,MI,48067,+12485489400,Sandwiches,3.0,$,47.2555649,-122.4705026
111,Johnny's New York Style Pizza,1810 Cheshire Bridge Rd NE,Atlanta,GA,30324,+14048748304,Pizza,3.5,$,47.709365,-122.319335
112,Blaze Fast-Fire'd Pizza,707 Richard Arrington Jr Blvd,Birmingham,AL,35233,+12053783888,Salad,5.0,$,33.821673790646,-84.3679177836509
113,Doaba Deli,945 Columbus Ave,New York,NY,10025,+12122222636,Indian,4.5,$,36.85311,-119.75545
114,Chapati Indian Restaurant,214 Division St S,Northfield,MN,55057,+15076452462,Indian,3.5,$$,36.838862,-119.752864
115,The Farmhouse Tap & Grill,160 Bank St,Burlington,VT,05401,+18028590888,Burgers,4.0,$$,26.0796741353336,-80.2522221207619
116,The Couch Tomato Cafe,102 Rector St,Philadelphia,PA,19127,+12154832233,Pizza,4.0,$$,39.9493514,-75.1654235
117,Fazoli's,337 Whittington Pkwy,Louisville,KY,40222,+15024231777,Italian,2.5,$,40.7321124557704,-73.9839056828882
118,Pizza Factory,10978 State Hwy 104,Kingston,WA,98346,+13602977777,Pizza,3.0,$$,36.8393364620215,-119.694420408449
119,F & O's,4050 Merle Hay Rd,Des Moines,IA,50310,+15152788887,Pizza,3.5,$$,35.229,-80.84242
120,Planet Smoothie,2900 Peachtree Rd NW,Atlanta,GA,30305,+14048440660,Juice Bars & Smoothies,4.5,$,25.7330139,-80.3091423
121,Mountain Mike's Pizza,8965 N Cedar Ave,Fresno,CA,93720,+15592614111,Pizza,3.0,$$,35.46674,-97.50955
122,Pittypat's Porch Restaurant,25 Andrew Young International Blvd NW,Atlanta,GA,30303,+14045258228,Southern,3.5,$$,39.367539,-76.449457
123,Pizza Ranch,4480 23rd Ave S,Fargo,ND,58104,+17013564141,Pizza,3.0,$,44.917501125864,-93.1870168447495
124,The Flying Biscuit Cafe,1001 Piedmont Ave,Atlanta,GA,30309,+14048748887,Breakfast & Brunch,4.0,$$,39.27632,-76.56882
125,Hungry Howie's Pizza,227 E State St,West Lafayette,IN,47906,+17652509121,Pizza,3.5,$,41.8892796234574,-87.6348227262497
126,Rosinella,525 Lincoln Rd,Miami Beach,FL,33139,+13056728777,Italian,3.0,$$,41.6436396,-93.4835719
127,Mount Everest India's Cuisine,3641 W Sahara Ave,Las Vegas,NV,89102,+17028920950,Indian,4.5,$$,36.84785,-119.78928
128,Mark's Feed Store,11422 Shelbyville Rd,Louisville,KY,40243,+15022440140,Barbeque,4.0,$$,39.7533524036407,-104.999156221747
129,Slim's Koffee Shak,33013 Rd 222,North Fork,CA,93643,+15598776300,Coffee & Tea,5.0,$,45.5191534787825,-122.678246866701
130,Nom Wah Tea Parlor,13 Doyers St,New York,NY,10013,+12129626047,Dim Sum,3.5,$$,40.7475857039896,-73.9967348479919
131,The Tasty Toast,1320 Point Breeze Ave,Philadelphia,PA,19146,+12154651040,Breakfast & Brunch,4.5,$,34.7958388924599,-92.230991050601
132,The Daily Creative Food  - Edgewater,2001 Biscayne Blvd,Miami,FL,33137,+13055734535,Salad,4.0,$$,29.6164557237914,-95.2177915187066
133,Pure Eatery,1043 Virginia Ave,Indianapolis,IN,46203,+13176025724,Sandwiches,4.0,$$,35.112382388077,-89.8939435424358
134,Logan's Roadhouse,5901 Poplar Ave,Memphis,TN,38119,+19016842272,Steakhouses,1.5,$$,41.8968449,-87.6264375
135,Buca di Beppo Italian Restaurant,5192 Buffalo Speedway,Houston,TX,77005,+17136652822,Italian,3.0,$$,37.25292,-119.16877
136,Omezzo,1755 Hill Rd N,Pickerington,OH,43147,+16148667606,Pizza,4.5,$$,40.61265,-74.0340499
137,MAD Greens - Denver,1600 Stout St,Denver,CO,80202,+17204684173,Vegetarian,3.5,$,36.7867809,-119.7899329
138,Corner Bakery Cafe,1701 John F Kennedy Blvd,Philadelphia,PA,19103,+12155692533,American (New),3.5,$,35.1565242,-80.794503
139,G Spot,4545 NW 7th St,Miami,FL,33126,+17867038762,Juice Bars & Smoothies,4.5,$,35.0234192216968,-80.7608089446442
140,West Egg Café,1100 Howell Mill Rd NW,Atlanta,GA,30318,+14048723973,Breakfast & Brunch,4.0,$$,45.504873,-122.653452
141,Phad Thai,8530 Greenwood Ave N,Seattle,WA,98103,+12067841830,Thai,3.0,$$,42.329172,-83.061987
142,LongHorn Steakhouse,10605 Centrum Pkwy,Pineville,NC,28134,+17045430484,Steakhouses,3.5,$$,34.78118,-92.21808
143,Pizza Hut,7645 S. Rainbow Blvd.,Las Vegas,NV,89139,+17022694917,Pizza,2.0,$,32.39562,-90.1401
144,Wok N Talk,23 S Huntington Ave,Jamaica Plain,MA,02130,+16174878262,Asian Fusion,2.5,$,47.479624,-122.207415
145,Hyatt Regency Scottsdale Resort & Spa at Gainey Ranch,7500 E Doubletree Ranch Rd,Scottsdale,AZ,85258,+14804441234,Hotels,4.0,$$$,40.72222,-73.98751
146,Fat Cat Creamery,1901 N Shepherd,Houston,TX,77008,+17138691080,Ice Cream & Frozen Yogurt,4.0,$,35.3910411894321,-97.5489706546068
147,Fusco's Via Roma,4815 S Main St,Acworth,GA,30101,+17709741110,Italian,4.0,$$,43.0062959343195,-87.9675849527121
148,Burritoville,141 2nd Ave,New York,NY,10003,+12122603300,Mexican,3.0,$,33.4535589207567,-84.4546223804355
149,Current Fish & Oyster,279 E 300th S,Salt Lake City,UT,84111,+18013263474,Seafood,4.0,$$,39.9567446250216,-83.0036865767212
150,Naked City Brewery & Taphouse,8564 Greenwood Ave N,Seattle,WA,98103,+12068386299,Breweries,3.5,$$,29.7321678,-95.478897
151,Nan's Nummies,501 Elm St,West Des Moines,IA,50265,+15152772201,Bakeries,3.0,$$,43.0062959343195,-87.9675849527121
152,Raw Girls,242 Cooper St,Memphis,TN,38104,+19014960755,Gluten-Free,4.0,$$,35.1604299230626,-90.0452160090208
153,Sonnys Real Pit Bar-B-Q,160 Cobb Pkwy S,Marietta,GA,30060,+17704281534,Barbeque,3.0,$$,39.97861,-83.00401
154,Penn Station East Coast Subs,8719 Sancus Blvd,Columbus,OH,43240,+16145470395,Sandwiches,3.0,$$,41.9750011323497,-87.9001781256866
155,Rio Grande II,9004 Fayette Lndg,Oak Hill,WV,25901,+13044655434,Mexican,2.5,$,25.739925,-80.2368849
156,Monical's Pizza,6010 W 86th St,Indianapolis,IN,46278,+13178707722,Pizza,3.0,$,33.46708,-86.82075
157,Diana's,3050 W Shaw Ave,Fresno,CA,93711,+15592779500,Persian/Iranian,4.5,$$,40.7138543,-73.9989484
158,Buck's Pizza,907 El Dorado Blvd,Houston,TX,77062,+12814742825,Pizza,4.5,$,34.04762,-118.32758
159,Johnnies Villa Pizza,105 W Coshocton St,Johnstown,OH,43031,+17409672030,Pizza,4.0,$$,38.1511409,-85.5876541
160,Toninos Pizza & Pasta,235 Lancaster Ave,Malvern,PA,19355,+16102409566,Italian,4.5,$$,38.2163311360454,-85.5881825834513
161,China King Restaurant,10728 Fm 1960 Rd W,Houston,TX,77070,+12814699766,Chinese,5.0,$$,40.74593,-74.15856
162,Jamba Juice,1215 Herndon Ave,Clovis,CA,93612,+15593221463,Juice Bars & Smoothies,4.0,$,40.7138037749034,-74.0364373547132
163,Brix Restaurant & Pizza Bar,371 Franklin Ave,Belleville,NJ,07109,+19737517001,Italian,4.0,$$,33.738598,-84.41646
164,Domino's Pizza,616 N Jefferson St,Jackson,MS,39202,+16013535600,Pizza,3.0,$$,40.89075,-74.1991
165,Buca di Beppo Italian Restaurant,5192 Buffalo Speedway,Houston,TX,77005,+17136652822,Italian,3.0,$$,36.1253966874048,-115.211563110352
166,India Oven,3450 SE Belmont St,Portland,OR,97214,+15038729687,Indian,3.5,$$,29.7303089346866,-95.3765309942689
167,Taco John's,1010 Gershwin Ave N,Oakdale,MN,55128,+16517386831,Mexican,2.0,$,41.8579831353127,-71.3912737369537
168,Lombardi's Pizza,32 Spring St,New York,NY,10012,+12129417994,Pizza,4.0,$$,41.94402,-87.64904
169,Pita Pit,6201 Minaret,Mammoth Lakes,CA,93546,+17609247482,Fast Food,4.0,$,40.738527,-73.988417
170,Smoothie King,2315 Ponce De Leon Blvd,Coral Gables,FL,33134,+13052005392,Juice Bars & Smoothies,4.0,$,40.7584488,-73.9791746
171,Rubio's Coastal Grill,40 El Camino Rd,Fresno,CA,93720,+15594380260,Mexican,3.5,$,25.7705248376992,-80.189613327384
172,RawFresno,2405 Capitol St,Fresno,CA,93721,+15592505292,Vegan,4.5,$$,36.127033,-115.210028
173,53 Kitchen & Cocktails,6201 Minaret Rd,Mammoth Lakes,CA,93546,+17609340707,American (New),4.0,$$,25.8096660751101,-80.1923222380981
174,Smokehouse 41,40713 Hwy 41,Oakhurst,CA,93644,+15596422271,Smokehouse,4.5,$$,40.106208,-82.925369
175,Thai'd Up,587 Old Mammoth Rd,Mammoth Lakes,CA,93546,+17609347355,Thai,2.5,$$,36.14495,-115.29897
176,Bonefish Grill,201 Colony Way,Madison,MS,39110,+16016073334,Seafood,4.0,$$,33.46708,-86.82075
177,Stellar Brew & Natural Cafe,3280 Main St,Mammoth Lakes,CA,93546,+17609243559,Coffee & Tea,4.0,$,33.58786,-117.72143
178,Royal Taj Fine Indian Cuisine,6735 N 1st St,Fresno,CA,93710,+15594437246,Indian,4.0,$$,39.9717102050781,-75.1350631713867
179,Créme De La Créme,1122 E Champlain Dr,Fresno,CA,93720,+15593694297,Breakfast & Brunch,4.5,$,35.1009941,-80.9498367
180,Dog House Grill,2789 E Shaw Ave,Fresno,CA,93710,+15592949920,Sports Bars,4.0,$$,38.9303373,-77.0321327
181,Charlotte Regional Farmers Market,1801 Yorkmont Rd,Charlotte,NC,28266,+17043571269,Farmers Market,4.0,$,43.2184953844696,-88.1022758242306
182,Basil Thai Cuisine,210 N Church St,Charlotte,NC,28202,+17043327212,Thai,3.5,$$,42.3632711771092,-71.0560575975533
183,Kabab-Je Rotisserie & Grille,2233 Matthews Township Pkwy,Matthews,NC,28105,+17048450707,Lebanese,4.5,$$,39.663769862498,-86.1972337961197
184,South Gate Brewing Company,40233 Enterprise Dr,Oakhurst,CA,93644,+15596922739,American (Traditional),4.0,$$,29.74799,-95.38634
185,Slim's Koffee Shak,33013 Rd 222,North Fork,CA,93643,+15598776300,Coffee & Tea,5.0,$,35.13938,-90.03846
186,The Loving Hut,1495 N Van Ness Ave,Fresno,CA,93728,+15592374052,Vegan,4.0,$,47.709365,-122.319335
187,Bob's Blue Sky Cafe,41781 Tollhouse Rd,Shaver Lake,CA,93664,+15598417106,Coffee & Tea,3.5,$,40.140659,-82.981464
188,Best Western Village Inn,3110 N Blackstone Ave,Fresno,CA,93703,+15592262110,Hotels,3.0,$$,25.7719649,-80.2567738
189,Joe's Pub at The Public,425 Lafayette St,New York,NY,10003,+12125398778,Music Venues,3.5,$$,39.9517,-75.16819
190,The Loving Hut,1495 N Van Ness Ave,Fresno,CA,93728,+15592374052,Vegan,4.0,$,40.7691122743293,-73.9814290717583
191,Trolley Stop Market,704 Madison Ave,Memphis,TN,38103,+19015261361,Farmers Market,3.5,$$,33.772519,-84.373454
192,The Dirty Crow Inn,855 Kentucky St,Memphis,TN,38106,+19012075111,Dive Bars,4.0,$,47.709365,-122.319335
193,Baoding,4722 Sharon Rd,Charlotte,NC,28210,+17045528899,Chinese,4.0,$$,44.14011,-72.85584
194,Passage To India,9510 University City Blvd,Charlotte,NC,28213,+17045491886,Indian,4.0,$$,42.54728,-83.21322
195,Victoria's Pizzeria Restaurante,111-17 Roosevelt Ave,Corona,NY,11368,+17188038408,Pizza,3.5,$$,33.6409549402535,-84.4395983219147
196,Johnny's New York Style Pizza,1810 Cheshire Bridge Rd NE,Atlanta,GA,30324,+14048748304,Pizza,3.5,$,39.6384653449059,-104.82788644731
197,TCBY,17045 Kercheval St,Grosse Pointe,MI,48230,+13138850384,Ice Cream & Frozen Yogurt,3.5,$,35.08271,-106.63968
198,Macao,311 Church St,New York,NY,10013,+12124318642,Asian Fusion,4.0,$$$,41.89603,-87.62307
199,Smoothie King,2315 Ponce De Leon Blvd,Coral Gables,FL,33134,+13052005392,Juice Bars & Smoothies,4.0,$,41.0965986,-73.415973
200,TGI Fridays,185 Union Ave,Memphis,TN,38103,+19015238500,American (Traditional),2.5,$$,35.0828,-106.6404699
201,Anmol Restaurant - Milwaukee,711 W Historic Mitchell St,Milwaukee,WI,53204,+14146727878,Indian,4.0,$$,37.32073,-119.5586
202,Schlotzsky's,3425 West 66th St,Edina,MN,55435,+19529222530,Sandwiches,4.0,$,25.72938,-80.24079
203,Village Whiskey,118 S 20th St,Philadelphia,PA,19103,+12156651088,American (New),4.0,$$,40.5623179664205,-111.894399666893
204,Jeni's Splendid Ice Creams,3404 N Southport Ave,Chicago,IL,60657,+17733487139,Ice Cream & Frozen Yogurt,4.5,$$,44.9634931964974,-92.9817044734955
205,Jamba Juice,222 Merchandise Mart Plz,Chicago,IL,60654,+13123210470,Juice Bars & Smoothies,4.5,$,25.764457335637,-80.2749353701694
206,Roots Juicebar,8530 SW 124th Ave,Miami,FL,33183,+17865345087,Juice Bars & Smoothies,4.5,$$,40.60325,-74.69396
207,The Cool Bean Cafe,40120 Hwy 41,Oakhurst,CA,93644,+15596837575,Coffee & Tea,5.0,$,61.19121,-149.87764
