restaurant_name,address,city,state,zip_code,phone,cuisine_type,rating,price,latitude,longitude
P.F. Chang's,11361 NW 12th St,Miami,FL,33172,13055915603,Chinese,3.5,$$,40.7464987,-73.8992328
Gourmet 45,721 3rd Ave,New York,NY,10017,12126826220,American (New),2,$$,36.80909,-119.75827
Windy Hill Orchard,1860 Black Hwy,York,NC,29745,18036840690,Cideries,4,$$,41.59381,-93.75353
Quantum Leap,226 Thompson St,New York,NY,10012,12126778050,Vegetarian,4,$$,39.69348,-104.94019
B Alive Vitamins,6757 N Cedar Ave,Fresno,CA,93710,15594310881,Health Markets,4.5,$$,43.61783006,-116.2029109
Nan's Games & Comics Too,2011 Southwest Fwy,Houston,TX,77098,17135208700,Toy Stores,3.5,$$,26.4863,-81.785857
Standard Sweets & Spices,1819 E Dakota Ave,Fresno,CA,93726,15592410645,Indian,4.5,$,42.947562,-88.005032
Miami Subs Grill,5875 NW 36th St,Miami,FL,33166,17862650401,American (New),3,$,38.227666,-85.735413
McAlister's Deli,1001-D Avenida De Las Americas,Houston,TX,77010,18329400660,Salad,2,$$,42.987085,-71.419033
Craigie On Main,853 Main St,Cambridge,MA,2139,16174975511,American (New),4,$$$$,26.08812,-80.25185
The Original Ninfa's on Navigation,2704 Navigation Blvd,Houston,TX,77003,17132281175,Mexican,4,$$,43.00629593,-87.96758495
Fat Cat Creamery,1901 N Shepherd,Houston,TX,77008,17138691080,Ice Cream & Frozen Yogurt,4,$,29.86442,-95.64382
Mission BBQ,116 S Independence Blvd,Virginia Beach,VA,23462,17574909050,Barbeque,4.5,$$,29.7429019,-95.4608651
Green Lotus,176-59 Union Tpke,Fresh Meadows,NY,11366,17183808567,Chinese,3.5,$,45.51994011,-122.6738122
Thyme Natural Market & Cafe,8122 Lefferts Blvd,Kew Gardens,NY,11415,17188470535,Health Markets,4,$$,35.16566,-80.8764999
Salad and Go,2006 W Pinnacle Peak Rd,Phoenix,AZ,85027,,Salad,4.5,$,42.7259285,-83.3076352
Naan -N- Curry,709 S 3rd St,Renton,WA,98057,14252716226,Indian,3.5,$$,39.6684494,-86.08313751
Standard Sweets & Spices,1819 E Dakota Ave,Fresno,CA,93726,15592410645,Indian,4.5,$,40.7693,-73.95823
Seeds Marketplace,3607 Trousdale Pkwy,Los Angeles,LA,90089,12138213481,Sandwiches,3,$$,36.12737,-115.173487
La Salsa Fresh Mexican Grill,Iah Airport,Houston,TX,77032,12814437344,Mexican,3,$,40.8375213,-74.1544461
Naan -N- Curry,709 S 3rd St,Renton,WA,98057,14252716226,Indian,3.5,$$,39.28322438,-76.59796061
My Fit Foods,22560 Tomball Pkwy,Houston,TX,77070,12812514922,Gluten-Free,4,$$,42.5247302,-71.1030292
Erna's Elderberry House,48688 Victoria Ln,Oakhurst,CA,93644,15596836800,French,4.5,$$$$,35.60749,-97.5488
Forbidden Palace,3333 Virginia Beach Blvd,Virginia Beach,VA,23452,17577472388,Chinese,4,$$,41.88941431,-87.63052935
Caspian Bistro & Marketplace,2418 University Ave SE,Minneapolis,MN,55414,16126231113,Grocery,4,$$,33.4560699,-112.06082
June Bug Cafe,6979A Hwy 140,Midpines,CA,95345,12099666666,American (New),4,$$,43.0173683,-87.9863205
Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,21.298249,-157.8609123
La La Bistro,1000 D Park Blvd,Massapequa Park,NY,11762,15165907230,Sandwiches,3,$,21.28328529,-157.7145389
Veggie Heaven,631 Valley Rd,Montclair,NJ,7043,19737831088,Vegetarian,4,$$,36.10939219,-115.173773
Pho 777,1065 W Argyle St,Chicago,IL,60640,17735619909,Vietnamese,3.5,$,40.80526563,-74.1938709
Peter Luger,178 Broadway,Brooklyn,NY,11211,17183877400,Steakhouses,4,$$$$,33.83301163,-111.9402618
Jamba Juice,1215 Herndon Ave,Clovis,CA,93612,15593221463,Juice Bars & Smoothies,4,$,29.73509809,-95.41775275
Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,35.72532289,-97.4257379
Verizon Wireless,340 Jay St,Brooklyn,NY,11201,17185960300,Mobile Phones,4.5,$$,39.3515636,-85.4794257
Standard Sweets & Spices,1819 E Dakota Ave,Fresno,CA,93726,15592410645,Indian,4.5,$,41.87901,-87.63451
Highline Bar,210 Broadway E,Seattle,WA,98102,12063287837,Vegan,4,$$,43.0453188,-87.9107494
Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,36.16728539,-115.1393104
Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,45.52200629,-122.6761776
Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,37.65126,-118.98514
Lilly & Raul,30 E 40th St,New York,NY,10016,12126826121,Massage,4.5,$$,42.3577439,-71.0590258
Liquiteria,230 Park Ave,New York,NY,10169,,Juice Bars & Smoothies,4,$,37.227353,-119.509135
Melt Bar and Grilled,4206 Worth Ave,Columbus,OH,43219,16149346020,Sandwiches,3.5,$$,39.95093732,-75.19430318
Red Bamboo,140 W 4th St,New York,NY,10012,12122601212,Vegetarian,4,$$,40.745513,-74.002365
Nan Xiang Xiao Long Bao,38-12 Prince St,Flushing,NJ,11354,17183213838,Shanghainese,4,$,45.51714784,-122.6513236
Neehee's,45656 Ford Rd,Canton,MI,48187,17347379777,Indian,4,$,29.71482468,-95.41386414
Chowpatty Chat,5711 Hillcroft St,Houston,TX,77036,18322037965,Indian,4,$,41.87887,-87.63117
Yard House,90 El Camino,Fresno,CA,93720,15592612165,Bars,3.5,$$,41.87887,-87.63117
Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,40.7419722,-73.9929188
The Kathmandu,3142 S Highland Dr,Salt Lake City,UT,84106,18014663504,Indian,4,$$,47.6675671,-122.3128845
Taco Cabana,127 Yale St,Houston,TX,77007,,Mexican,1.5,$,29.68885001,-95.46005558
Addis Red Sea,544 Tremont St,Boston,MA,2116,16174268727,Ethiopian,3.5,$$,38.25636726,-85.75276233
Four Seasons Thai Cuisine & Oriental Grocery,1353 Stelton Rd,Piscataway,NY,8854,17328198787,Grocery,3.5,$$,40.36072922,-74.04188538
Teazer World Tea Market,3140 W Shaw Ave,Fresno,CA,93711,15592714758,Cafes,4.5,$,40.74169074,-73.98720749
Empire Palace,2721 S College Ave,Fort Collins,WY,80525,19703771180,Asian Fusion,2.5,$,37.6482916,-118.9702723
Shaver Coffee & Deli,41758 Tollhouse Rd,Shaver Lake,CA,93602,15598413555,Delis,4,$,39.717523,-104.952615
No Borders Food Truck,1515 Sul Ross,Houston,TX,77006,17133347295,Food Stands,3.5,$,25.750963,-80.258375
Fresco Tortilla & Burritos,858 10th Ave,New York,NY,10019,12124895007,Tex-Mex,3,$,25.72697022,-80.24057637
Bob's Blue Sky Cafe,41781 Tollhouse Rd,Shaver Lake,CA,93664,15598417106,Coffee & Tea,3.5,$,35.49670792,-97.53483582
Frullati Cafe & Bakery,2000 Willowbrook Mall,Houston,TX,77070,12814773383,Bakeries,3.5,$,36.80804,-119.75473
The Original Ninfa's on Navigation,2704 Navigation Blvd,Houston,TX,77003,17132281175,Mexican,4,$$,40.77162013,-73.9818378
Juicebar Holland,3877 Holland Rd,Virginia Beach,VA,23452,17572276822,Juice Bars & Smoothies,4,$$,42.3950699,-71.12135
Seed Freedom,1240 Ridge Ave,Philadelphia,PA,19123,12678868843,Bars,3,$$,45.51959398,-122.660476
Port of Subs,7120 North Durango Rd,Las Vegas,NV,89149,17022207678,Sandwiches,3.5,$,21.27699,-157.78641
Flatbread Company,138 Congress St,Portsmouth,NH,3804,16034367888,Pizza,4.5,$$,25.9652552,-80.1439339
Sababa Mediterranean Grill,3220 S Durango Dr,Las Vegas,NV,89117,17025475556,Middle Eastern,3.5,$$,39.94718,-75.15746
WinCo Foods,4488 Shaw Ave,Fresno,CA,93722,15592712199,Grocery,3.5,$,33.804511,-84.393731
Amada,217 Chestnut St,Philadelphia,PA,19106,12156252450,Tapas Bars,4,$$$,29.7372343,-95.4981349
Pei Wei,1005 Waugh Dr,Houston,TX,77019,17133537366,Chinese,2.5,$,47.5222591,-122.3646749
GreenSpace Cafe,215 W Nine Mile Rd,Ferndale,MI,48220,12482067510,Vegan,4.5,$$,40.36409,-74.6512599
Erna's Elderberry House,48688 Victoria Ln,Oakhurst,CA,93644,15596836800,French,4.5,$$$$,33.4369499,-112.0595091
Magic Carpet,34th & Walnut St,Philadelphia,PA,19176,12153340948,Food Stands,4.5,$,41.5819629,-93.6194239
Wall's Old Fashioned Ice Cream,8075 SW 67th Ave,Miami,FL,33143,13057409830,Ice Cream & Frozen Yogurt,4.5,$,33.76394272,-84.34881592
Fox & Jane Lower East Side,154 Orchard St,New York,CT,10002,12128372774,Hair Salons,4.5,$$,41.2662756,-96.1193712
Boston Market,1915 W Gray St,Houston,TX,77019,17135212121,American (Traditional),3,$,47.59726,-122.3275
Divya's Kitchen,25 1st Ave,New York,NY,10003,12124774834,Vegan,4.5,$$,42.36335373,-71.05582428
Firehouse Subs,2303 White Bear Ave,Maplewood,MN,55109,16517317827,Fast Food,3,$$,40.721515,-73.995735
Life Alive,765 Mass Ave,Cambridge,MA,2139,16173545433,Vegetarian,4.5,$$,39.74888451,-104.9967573
Angkor Restaurant,4853 E Olive Ave,Fresno,CA,93727,15594540887,Asian Fusion,3.5,$$,45.52402,-122.69674
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
